pc,delta_in,type,delta_out
140443297316992,-2254088,0,64
140443297317056,64,0,107216
140443297424272,107216,0,80
140443297424352,80,0,32
140443297424384,32,0,13640
140443297424401,13640,1,-10888
140443297427136,-10888,0,-120304
140443297427140,-120304,1,122549
140443297429381,122549,0,-112261
140443297317120,-112261,0,-64932560
140443297317169,-64932560,1,64932624
140443297317184,64932624,0,76
140443297317260,76,0,2252932
140443297317260,2252932,2,-67185552
140443297317268,-67185552,1,67185672
140443297317260,67185672,2,-2250522
140443297319790,-2250522,0,18
140443297319808,18,0,-64935040
140443297317268,-64935040,1,128
140443297317268,128,1,67185592
140443297317260,67185592,2,-2253176
140443297317312,-2253176,0,64
140443297317376,64,0,64
140443297317440,64,0,64
140443297317504,64,0,64
140443297317568,64,0,-68104232
140443297353648,-68104232,1,68104296
140443297317632,68104296,0,2254552
140443297354107,2254552,2,456
140443297433764,456,2,-196
140443297354576,-196,2,-84
140443297354286,-84,2,-32
140443297354335,-32,2,-2217704
140443297354624,-2217704,0,288195583160
140443297317664,288195583160,1,-288193365640
140443297317678,-288193365640,2,-2254448
140443297317696,-2254448,0,304
140443297318000,304,0,16
140443297318016,16,0,288195619848
140443297317742,288195619848,1,-288195620104
140443297317760,-288195620104,0,64
140443297317824,64,0,288195620744
140443297317825,288195620744,1,-288195620654
140443297317914,-288195620654,0,2253734
140443297317914,2253734,2,-2252687
140443297318961,-2252687,0,597
140443297319558,597,0,105
140443297319663,105,0,17
140443297319680,17,0,2251904
140443297317914,2251904,2,288193367112
140443297317922,288193367112,1,-288193366864
140443297317914,-288193366864,2,96
140443297317914,96,2,-2253808
140443297318120,-2253808,0,24
140443297318144,24,0,64
140443297318208,64,0,64
140443297318272,64,0,64
140443297318336,64,0,64
140443297318400,64,0,80
140443297318480,80,0,48
140443297318528,48,0,66
140443297318594,66,0,288195619486
140443297353648,288195619486,1,-288195619424
140443297318656,-288195619424,0,288195619804
140443297432390,288195619804,1,-288195619740
140443297318720,-288195619740,0,2253880
140443297353914,2253880,2,-2253816
140443297318784,-2253816,0,96960
140443297415744,96960,0,81
140443297415825,81,0,80
140443297415905,80,0,288195523783
140443297415905,288195523783,1,-288195502648
140443297415912,-288195502648,1,-21104
140443297415936,-21104,0,-97088
140443297318848,-97088,0,1146
140443297319994,1146,0,6
140443297320000,6,0,20048
140443297340048,20048,0,48
140443297340096,48,0,27568
140443297367664,27568,0,288195407816
140443297367676,288195407816,2,-288195407800
140443297367680,-288195407800,0,288195407728
140443297367691,288195407728,2,-88
140443297367721,-88,2,-288195407576
140443297367744,-288195407576,0,64
140443297367808,64,0,73
140443297367881,73,0,55
140443297367936,55,0,64
140443297368000,64,0,80
140443297368080,80,0,48
140443297368128,48,0,283
140443297368411,283,0,37
140443297368448,37,0,112
140443297368560,112,0,288195406704
140443297368494,288195406704,2,-288193211680
140443297432390,-288193211680,1,-2195008
140443297368576,-2195008,0,64
140443297368640,64,0,64
140443297368704,64,0,911
140443297369615,911,0,-838
140443297368777,-838,0,55
140443297368832,55,0,64
140443297368896,64,0,64
140443297368960,64,0,64837
140443297433797,64837,0,6191
140443297433797,6191,1,2132813
140443297433805,2132813,2,-2203777
140443297369024,-2203777,0,64
140443297369088,64,0,64
140443297369152,64,0,2203592
140443297369156,2203592,2,-2203528
140443297369216,-2203528,0,64
140443297369280,64,0,64
140443297369344,64,0,88
140443297369432,88,0,-1052
140443297368380,-1052,0,2195460
140443297340107,2195460,2,-2223680
140443297340160,-2223680,0,64
140443297340224,64,0,64
140443297340288,64,0,93904
140443297434192,93904,0,2138744
140443297434228,2138744,2,-2232584
140443297340352,-2232584,0,95479
140443297340356,95479,1,2137225
140443297340361,2137225,2,128
140443297434228,128,2,-2232768
140443297340416,-2232768,0,2229328
140443297340431,2229328,2,-2229264
140443297340480,-2229264,0,104
140443297340584,104,0,24
140443297340608,24,0,264
140443297340872,264,0,32824
140443297373696,32824,0,88
140443297373784,88,0,-53720
140443297320064,-53720,0,64
140443297320128,64,0,-15500
140443297320142,-15500,1,15564
140443297320192,15564,0,-15216
140443297320235,-15216,1,15318
140443297320294,15318,0,2248930
140443297320298,2248930,2,-2248904
140443297320320,-2248904,0,2248856
140443297320316,2248856,1,-2248792
140443297320384,-2248792,0,61648
140443297382032,61648,0,-61584
140443297320448,-61584,0,53232
140443297373680,53232,0,-53124
140443297320556,-53124,0,102372
140443297422928,102372,0,-102352
140443297320576,-102352,0,64
140443297320640,64,0,42400
140443297363040,42400,0,32
140443297363072,32,0,64
140443297363136,64,0,2976
140443297366112,2976,0,-2836
140443297363276,-2836,0,52
140443297363328,52,0,2136
140443297365464,2136,0,-2072
140443297363392,-2072,0,64
140443297363456,64,0,235
140443297363691,235,0,-171
140443297363520,-171,0,68288
140443297431808,68288,0,-68142807
140443297431843,-68142807,1,68142871
140443297431872,68142871,0,-13568
140443297418304,-13568,0,288195356712
140443297418319,288195356712,2,-288195356648
140443297418368,-288195356648,0,5184
140443297423552,5184,0,288195351552
140443297423581,288195351552,2,-288195351488
140443297423616,-288195351488,0,-60880
140443297362736,-60880,0,16
140443297362752,16,0,-21744
140443297341008,-21744,0,288195433960
140443297341010,288195433960,2,-992
140443297341028,-992,2,-288193206008
140443297341042,-288193206008,1,-2226912
140443297341056,-2226912,0,64
140443297341120,64,0,34960
140443297376080,34960,0,288195397864
140443297376081,288195397864,2,-288195397791
140443297376153,-288195397791,0,52903
140443297429056,52903,0,-87872
140443297341184,-87872,0,96
140443297341280,96,0,32
140443297341312,32,0,480
140443297341792,480,0,32
140443297341824,32,0,1234
140443297343058,1234,0,46
140443297343104,46,0,92
140443297343196,92,0,100
140443297343296,100,0,-595
140443297342701,-595,0,19
140443297342720,19,0,103
140443297342823,103,0,849
140443297343672,849,0,8
140443297343680,8,0,-1751
140443297341929,-1751,0,448
140443297342377,448,0,23
140443297342400,23,0,60656
140443297403056,60656,0,16
140443297403072,16,0,752
140443297403824,752,0,16
140443297403840,16,0,288195369976
140443297403843,288195369976,2,-288195398392
140443297375424,-288195398392,0,288195398200
140443297375457,288195398200,2,-288195351064
140443297422560,-288195351064,0,32
140443297422592,32,0,-160
140443297422432,-160,0,-46944
140443297375488,-46944,0,64
140443297375552,64,0,47600
140443297423152,47600,0,16
140443297423168,16,0,104
140443297423272,104,0,-16633768
140443297403888,-16633768,1,16614400
140443297403904,16614400,0,64
140443297403968,64,0,-16575656
140443297403990,-16575656,1,16577531
140443297405843,16577531,0,-2707
140443297403136,-2707,0,64
140443297403200,64,0,64
140443297403264,64,0,64
140443297403328,64,0,-16536212
140443297403339,-16536212,1,16536290
140443297403406,16536290,0,-590
140443297402816,-590,0,-16374495
140443297402819,-16374495,1,-180597
140443297403397,-180597,1,127322
140443297402819,127322,1,-117626
140443297403397,-117626,1,144860
140443297402819,144860,1,-149708
140443297403397,-149708,1,137958
140443297402819,137958,1,-140382
140443297403397,-140382,1,134394
140443297402819,134394,1,-133194
140443297403397,-133194,1,136053
140443297402819,136053,1,-135453
140443297403397,-135453,1,137135
140443297402819,137135,1,-136823
140443297403397,-136823,1,137576
140443297402819,137576,1,-137432
140443297403397,-137432,1,137768
140443297402819,137768,1,16412716
140443297402888,16412716,0,70
140443297402958,70,0,498
140443297403456,498,0,91
140443297403547,91,0,-16413429
140443297402819,-16413429,1,16413466
140443297403584,16413466,0,1456
140443297405040,1456,0,16
140443297405056,16,0,456
140443297405512,456,0,77
140443297405589,77,0,43
140443297405632,43,0,-1020
140443297404612,-1020,0,27884
140443297432496,27884,0,16
140443297432512,16,0,80
140443297432592,80,0,96
140443297432688,96,0,16
140443297432704,16,0,-28032
140443297404672,-28032,0,288195369080
140443297404690,288195369080,2,-288195339852
