pc,delta_in,type,delta_out
139859331860233,-64,2,-872734317464
139859331961888,-872734317464,0,32
139859331961920,32,0,-100760
139859331861160,-100760,0,2247640
139859331861174,2247640,1,-2247607
139859331861193,-2247607,0,1026
139859331862219,1026,0,37397
139859331899616,37397,0,872734379648
139859331899642,872734379648,2,-872734379616
139859331899648,-872734379616,0,84831
139859331978054,84831,1,-84767
139859331899712,-84767,0,-45696
139859331854016,-45696,0,108368
139859331962384,108368,0,-108400
139859331853984,-108400,0,108096
139859331962080,108096,0,224
139859331962304,224,0,-192
139859331962112,-192,0,168
139859331962280,168,0,2153456
139859331899751,2153456,2,-2215960
139859331899776,-2215960,0,2216632
139859331899771,2216632,2,-2137032
139859331979376,-2137032,0,32
139859331979408,32,0,2137712
139859331979428,2137712,2,-24
139859331899813,-24,2,-2217256
139859331899840,-2217256,0,2215864
139859331899839,2215864,2,780
139859331899843,780,1,-2216244
139859331900240,-2216244,0,2216428
139859331900240,2216428,2,-244
139859331899879,-244,2,-2216520
139859331899904,-2216520,0,2216928
139859331899920,2216928,2,32
139859331899920,32,2,64
139859331899920,64,2,64
139859331899920,64,2,-408
139859331899950,-408,2,-2216616
139859331899968,-2216616,0,456
139859331900424,456,0,-385
139859331900039,-385,0,178
139859331900217,178,0,-37945
139859331862272,-37945,0,37200
139859331899472,37200,0,-44912
139859331854560,-44912,0,2259124
139859331854560,2259124,1,-2214164
139859331899520,-2214164,0,-37184
139859331862336,-37184,0,64
139859331862400,64,0,-68104000
139859331862461,-68104000,1,68104064
139859331862464,68104064,0,2400
139859331864864,2400,0,-100
139859331864764,-100,0,4
139859331864768,4,0,-68106296
139859331864767,-68106296,1,70356904
139859331864786,70356904,2,-2250432
139859331864944,-2250432,0,-68106416
139859331864944,-68106416,1,68106432
139859331864960,68106432,0,64
139859331865024,64,0,-68106416
139859331864976,-68106416,1,72
139859331862461,72,1,56
139859331862461,56,1,56
139859331862461,56,1,56
139859331862461,56,1,68103764
139859331862612,68103764,0,2254132
139859331862612,2254132,1,-2254088
139859331862656,-2254088,0,64
139859331862720,64,0,107216
139859331969936,107216,0,80
139859331970016,80,0,32
139859331970048,32,0,13640
139859331970065,13640,1,-10888
139859331972800,-10888,0,-120304
139859331972804,-120304,1,122549
139859331975045,122549,0,-112261
139859331862784,-112261,0,-64932560
139859331862833,-64932560,1,64932624
139859331862848,64932624,0,76
139859331862924,76,0,-64932684
139859331862932,-64932684,1,67185616
139859331862924,67185616,2,-67185552
139859331862932,-67185552,1,67185656
139859331862924,67185656,2,16
139859331862924,16,2,-67185608
139859331862932,-67185608,1,64935086
139859331865454,64935086,0,18
139859331865472,18,0,2250328
139859331862924,2250328,2,-67185368
139859331862932,-67185368,1,64
139859331862932,64,1,64
139859331862932,64,1,67185504
139859331862924,67185504,2,-67185440
139859331862932,-67185440,1,67185528
139859331862924,67185528,2,-2253176
139859331862976,-2253176,0,64
139859331863040,64,0,64
139859331863104,64,0,2253576
139859331863128,2253576,2,-2253512
139859331863168,-2253512,0,64
139859331863232,64,0,-68104232
139859331899312,-68104232,1,68104296
139859331863296,68104296,0,2254552
139859331899771,2254552,2,-656
139859331899791,-656,2,1112
139859331979428,1112,2,-380
139859331899843,-380,1,184
139859331900240,184,2,-84
139859331899950,-84,2,-32
139859331899999,-32,2,-2217704
139859331900288,-2217704,0,872734473400
139859331863328,872734473400,1,-872732255880
139859331863342,-872732255880,2,-2254448
139859331863360,-2254448,0,872734510336
139859331863399,872734510336,1,-872734510032
139859331863664,-872734510032,0,16
139859331863680,16,0,872734510088
139859331863406,872734510088,1,-872734510344
139859331863424,-872734510344,0,872734510440
139859331863399,872734510440,1,-872734510376
139859331863488,-872734510376,0,872734510984
139859331863489,872734510984,1,-872734510894
139859331863578,-872734510894,0,2253734
139859331863578,2253734,2,-2252687
139859331864625,-2252687,0,597
139859331865222,597,0,105
139859331865327,105,0,17
139859331865344,17,0,872734509192
139859331863586,872734509192,1,-872732257288
139859331863578,-872732257288,2,872732257352
139859331863586,872732257352,1,-872732257104
139859331863578,-872732257104,2,96
139859331863578,96,2,872732257072
139859331863586,872732257072,1,-872734510880
139859331863784,-872734510880,0,24
139859331863808,24,0,2245056
139859331863866,2245056,2,-2244992
139859331863872,-2244992,0,64
139859331863936,64,0,2253448
139859331863934,2253448,1,-2253384
139859331864000,-2253384,0,64
139859331864064,64,0,80
139859331864144,80,0,48
139859331864192,48,0,2253312
139859331864202,2253312,1,-2253246
139859331864258,-2253246,0,872734509726
139859331899312,872734509726,1,-872734509664
139859331864320,-872734509664,0,872734510044
139859331978054,872734510044,1,-872734509980
139859331864384,-872734509980,0,2253880
139859331899578,2253880,2,-2253816
139859331864448,-2253816,0,96960
139859331961408,96960,0,81
139859331961489,81,0,80
139859331961569,80,0,872734414023
139859331961569,872734414023,1,-872734392888
139859331961576,-872734392888,1,16
139859331961591,16,1,-21120
139859331961600,-21120,0,-97088
139859331864512,-97088,0,1146
139859331865658,1146,0,6
139859331865664,6,0,20048
139859331885712,20048,0,48
139859331885760,48,0,27568
139859331913328,27568,0,872734365896
